,id,first_name,last_name,purchasedate,moneyspent,gamedate
85,3307,Kristi,Gregory,2022-07-17,130,2022-09-24
86,700,David,Sullivan,2019-06-15,39,2019-09-21
87,3557,Donald,Miller,2021-09-24,106,2021-10-02
88,857,Danielle,Moody,2019-10-19,56,2019-11-09
89,1940,Austin,Chavez,2022-08-20,123,2022-10-15
90,486,Clifford,Hahn,2019-07-13,55,2019-09-21
91,1198,Jesus,Ward,2023-08-17,66,2023-09-16
92,1797,Bianca,Munoz,2023-05-31,63,2023-08-31
93,273,Sherry,Estrada,2019-09-09,149,2019-11-30
94,3790,Anthony,Castillo,2022-07-15,87,2022-10-08
95,2326,Robert,Bailey,2019-09-23,146,2019-10-19
96,2137,Patricia,Coleman,2019-08-15,106,2019-10-19
97,2232,Elizabeth,Li,2023-08-10,96,2023-09-16
98,1743,Raymond,Ross,2022-08-16,42,2022-10-15
99,2168,Hannah,Powers,2022-07-26,99,2022-09-24
100,1248,Jessica,Watts,2022-09-21,65,2022-10-29
101,566,Ashley,Bell,2019-08-24,133,2019-11-09
102,1941,Emily,Diaz,2022-10-21,31,2022-10-22
103,931,Melinda,Lee,2021-09-17,83,2021-10-30
104,726,Brittany,Santiago,2022-09-28,46,2022-11-12
105,2246,Christine,Swanson,2023-10-18,138,2023-10-28
106,2706,Jamie,Lopez,2021-08-09,96,2021-10-16
107,2712,Terry,Diaz,2022-09-21,118,2022-10-08
108,3199,Michael,Lambert,2022-07-29,113,2022-10-22
109,773,Melissa,Hernandez,2022-10-11,127,2022-10-29
110,2779,Susan,Jordan,2022-10-14,49,2022-10-22
111,840,Alex,Aguilar,2023-10-09,72,2023-10-28
112,2310,Richard,Hall,2023-08-01,150,2023-10-28
113,3998,Lindsey,Hester,2019-07-02,97,2019-08-31
114,1633,Anthony,Rice,2019-07-15,69,2019-08-31
115,2056,Christina,Andrews,2019-10-28,63,2019-11-09
116,2909,Garrett,Jackson,2022-08-18,67,2022-09-24
117,716,Theresa,Jones,2022-09-18,115,2022-10-08
118,249,Kristin,Simmons,2021-08-16,148,2021-10-30
119,2500,Gregory,Garcia,2021-09-04,136,2021-10-30
120,2478,Troy,Williams,2023-10-03,98,2023-10-28
121,1544,Daniel,Baldwin,2022-08-07,139,2022-10-15
122,3272,Norma,Flores,2022-08-10,125,2022-10-15
123,3152,Ashley,Mckinney,2019-08-28,104,2019-10-19
124,1105,Melanie,Mccarty,2020-09-28,95,2020-10-10
125,2217,Patrick,Hernandez,2019-09-16,30,2019-10-12
126,183,April,Smith,2022-08-25,64,2022-10-22
127,3277,Penny,Knapp,2023-07-05,117,2023-10-07
128,2618,Reginald,Mahoney,2023-09-13,85,2023-09-16
129,2046,Rebecca,Diaz,2023-07-18,53,2023-08-31
130,264,Craig,Ford,2019-08-04,97,2019-11-09
131,1814,Kevin,Wallace,2019-10-25,43,2019-11-30
132,3218,Michael,Owens,2019-06-14,51,2019-08-31
133,1834,Amber,Chambers,2023-06-17,64,2023-08-31
134,3811,Timothy,Roberts,2023-06-18,136,2023-08-31
135,2848,Eugene,Webster,2022-07-29,150,2022-10-22
136,3287,Michael,Garrett,2019-07-14,103,2019-10-12
137,1031,Daniel,Richard,2021-09-28,88,2021-10-02
138,445,Dennis,Walker,2021-08-10,80,2021-10-30
139,2927,Courtney,Mitchell,2021-08-17,123,2021-10-02
140,530,Mercedes,Williams,2023-07-09,89,2023-08-31
141,3860,Lindsay,Welch,2022-11-10,150,2022-11-12
142,1110,Cynthia,Campos,2022-08-10,125,2022-10-29
143,2325,Jose,Price,2022-09-03,63,2022-10-15
144,2976,Whitney,Phillips,2023-05-23,52,2023-08-31
145,257,Becky,Ruiz,2023-06-29,146,2023-09-16
146,3035,Jacob,Walker,2020-10-04,143,2020-10-24
147,2628,Steven,Sanchez,2019-10-14,139,2019-11-30
148,79,Jasmine,Elliott,2019-06-28,36,2019-08-31
149,3947,Mary,Herrera,2021-09-18,75,2021-10-02
150,414,Anthony,Bailey,2023-07-15,119,2023-09-16
151,709,Christopher,Jennings,2022-08-22,86,2022-10-29
152,3028,Penny,Sanchez,2020-09-25,72,2020-10-24
153,1272,Anthony,Gallegos,2022-08-26,117,2022-11-12
154,3112,Erin,Orozco,2023-09-07,88,2023-10-07
155,3172,Kristen,Nelson,2022-10-26,137,2022-11-12
156,2698,Justin,Williams,2023-08-14,56,2023-10-07
157,2123,Kimberly,Garcia,2022-08-26,120,2022-10-08
158,3372,Nicholas,Bond,2022-10-03,104,2022-10-29
159,260,Joshua,Campbell,2020-09-20,88,2020-11-14
160,3123,Jennifer,Mcintosh,2021-10-02,54,2021-10-30
161,3077,Dennis,Davis,2023-09-14,75,2023-10-28
162,534,Marc,Landry,2022-07-18,81,2022-10-22
163,352,James,Walker,2023-07-11,140,2023-09-16
164,3861,Andrew,Taylor,2021-05-26,52,2021-09-02
165,963,Grace,Gonzalez,2022-09-23,79,2022-10-22
166,3986,Bryce,Wiley,2019-08-13,73,2019-10-12
167,2854,Jake,Franklin,2019-08-30,56,2019-11-30
168,887,Daniel,Henson,2019-09-11,82,2019-11-09
169,2585,Scott,Johnson,2020-08-18,115,2020-10-24
170,1550,Alison,Johnson,2021-08-07,34,2021-10-30
171,331,Peter,Compton,2020-08-28,89,2020-10-24
172,2015,Alan,Torres,2021-08-21,119,2021-10-02
173,1317,Linda,Harris,2022-08-01,49,2022-10-15
174,1546,Barbara,Wilson,2023-08-12,58,2023-08-31
175,306,Tiffany,Friedman,2020-07-08,92,2020-10-10
176,271,Roy,Townsend,2019-08-08,95,2019-11-09
177,2762,Patrick,Hayes,2019-08-30,85,2019-08-31
178,965,Mary,Banks,2019-08-31,65,2019-11-30
179,360,Amanda,Roberts,2022-09-22,72,2022-11-12
180,1815,Emily,Tucker,2021-07-20,70,2021-10-16
181,2309,Chase,Jackson,2019-07-12,100,2019-10-19
182,2157,Reginald,Dean,2019-10-12,108,2019-10-12
183,1292,Anne,Clark,2021-09-10,89,2021-10-16
184,196,Victoria,Jones,2019-11-06,122,2019-11-09
185,2384,Bianca,Farrell,2021-08-06,129,2021-10-30
186,2575,Amanda,Adams,2022-08-25,34,2022-10-08
187,1416,Joseph,Pierce,2023-07-17,144,2023-08-31
188,2091,James,Hodge,2021-08-22,77,2021-09-02
189,268,Susan,Haynes,2022-09-05,77,2022-10-29
190,1666,Samuel,Haynes,2023-06-29,92,2023-10-07
191,2753,Jane,Ruiz,2023-10-05,94,2023-10-28
192,1465,Kim,Cunningham,2021-07-16,77,2021-10-02
193,129,Steven,Pope,2023-06-02,130,2023-08-31
194,2072,Patrick,Rocha,2019-09-03,63,2019-10-12
195,354,Brian,Mcmahon,2022-09-20,97,2022-10-08
196,1018,Rebecca,Garcia,2019-07-26,62,2019-09-21
197,2144,Sergio,Whitehead,2019-06-27,49,2019-08-31
198,1521,Natasha,Jones,2023-07-28,106,2023-10-07
199,328,Cathy,Richardson,2019-11-21,148,2019-11-30
200,2577,Justin,Gray,2022-09-28,120,2022-10-08
201,1426,Ryan,King,2023-09-09,55,2023-10-28
202,1280,Kimberly,Carr,2019-09-10,83,2019-11-09
203,3191,Jonathan,Haney,2022-09-06,99,2022-10-29
204,2006,Nathaniel,Greene,2023-09-13,45,2023-10-07
205,2311,Johnathan,Cobb,2019-08-23,72,2019-10-19
206,2383,Douglas,Reese,2019-10-11,79,2019-11-30
207,2650,Susan,Bass,2022-09-07,46,2022-10-08
208,370,Matthew,Taylor,2022-08-17,57,2022-10-22
209,3566,Carl,Cummings,2019-10-12,118,2019-11-09
210,131,Ann,Brooks,2022-07-05,78,2022-10-08
211,1235,Jason,Eaton,2019-08-12,114,2019-10-19
212,1723,Theodore,Bell,2022-08-21,58,2022-10-29
213,2397,Kathy,Warren,2021-07-18,65,2021-10-16
214,846,Maria,Schmidt,2022-09-23,38,2022-09-24
215,1194,Rebecca,Rodriguez,2023-08-24,45,2023-10-28
216,3076,Zachary,Mitchell,2019-09-25,132,2019-10-19
217,3359,Allison,Rivera,2022-10-20,85,2022-10-22
218,3411,Patrick,Gonzalez,2020-09-03,93,2020-10-24
219,2977,Bethany,Andrews,2020-11-13,85,2020-11-14
220,2197,William,Harrington,2022-09-06,144,2022-09-24
221,2069,Matthew,Carlson,2020-09-10,58,2020-11-14
222,2820,Benjamin,Williams,2022-10-23,142,2022-10-29
223,3050,Kevin,Robinson,2019-08-26,43,2019-11-09
224,1188,Michael,Wagner,2023-09-09,108,2023-10-28
225,1787,Andrew,Anderson,2022-10-15,51,2022-11-12
226,2290,Robert,Espinoza,2019-09-21,58,2019-10-19
227,1372,Jacob,Thomas,2023-08-31,79,2023-08-31
228,1286,Jennifer,Schultz,2019-06-10,51,2019-08-31
229,2610,Shane,Stafford,2020-10-07,136,2020-10-10
230,83,Mary,Collins,2019-07-13,111,2019-10-12
231,2464,Jimmy,Miller,2021-09-09,58,2021-10-30
232,3108,Lorraine,Anderson,2023-07-10,93,2023-10-07
233,2337,Rebecca,Perry,2021-07-26,73,2021-10-02
234,2895,Kristina,Dixon,2020-07-09,30,2020-10-10
235,2444,Gregory,Freeman,2020-08-17,143,2020-10-10
236,1507,David,Brown,2022-08-12,137,2022-10-29
237,2532,Catherine,Malone,2022-10-04,118,2022-10-15
238,3683,Daniel,Johnson,2022-06-22,101,2022-09-24
239,3955,Linda,Decker,2022-09-05,98,2022-10-08
240,1860,Kathleen,Brown,2019-11-19,75,2019-11-30
241,3001,Jennifer,Silva,2019-07-04,44,2019-09-21
242,1218,Amber,Hernandez,2021-07-15,87,2021-10-16
243,822,Ronald,Rogers,2023-09-18,132,2023-10-07
244,1501,Marilyn,Jackson,2023-09-18,89,2023-10-07
245,3894,Tyrone,Wallace,2022-10-01,129,2022-10-15
246,1753,Jessica,Robles,2023-06-12,110,2023-09-16
247,3850,Allison,Burns,2023-08-17,60,2023-10-07
248,918,Jessica,Walsh,2021-09-20,101,2021-10-02
249,2460,Tracy,Ochoa,2022-09-04,107,2022-10-29
250,2602,Thomas,Young,2021-09-30,51,2021-10-02
251,2030,Jonathan,Bryant,2019-07-15,104,2019-08-31
252,656,Jennifer,Thompson,2022-08-10,121,2022-10-29
253,1641,Kristine,Smith,2022-10-01,69,2022-10-15
254,2438,Kayla,Clark,2019-07-23,103,2019-10-19
255,1994,Kevin,Wheeler,2021-09-04,99,2021-10-16
256,3016,Julia,Howard,2022-09-09,61,2022-09-24
257,26,Megan,Giles,2022-08-14,31,2022-11-12
258,1584,Stephanie,Shelton,2019-09-27,40,2019-11-30
259,1469,Daniel,Hudson,2023-08-29,46,2023-09-16
260,3197,Amy,Lewis,2021-09-11,53,2021-10-02
261,2243,Richard,Thomas,2019-11-03,141,2019-11-09
262,2242,Katie,Smith,2021-08-09,87,2021-10-30
263,1750,Michael,Jordan,2019-08-21,65,2019-09-21
264,1460,David,Garcia,2019-07-29,150,2019-10-12
265,3719,Richard,Norton,2023-09-01,109,2023-09-16
266,2865,Robert,Good,2020-09-19,113,2020-10-10
267,2605,Howard,Wagner,2020-10-08,110,2020-10-24
268,342,Elizabeth,Cantu,2021-08-29,49,2021-10-30
269,1574,Shannon,Carter,2021-07-26,134,2021-09-02
270,2548,Kara,Booth,2021-07-12,146,2021-09-02
271,3527,Douglas,Reed,2022-10-08,108,2022-10-22
272,1189,Gregory,Hill,2020-11-11,71,2020-11-14
273,3339,Heather,Gonzales,2023-06-13,122,2023-08-31
274,2531,Savannah,Torres,2023-06-26,114,2023-08-31
275,1746,Jeanne,Martin,2020-10-25,53,2020-11-14
276,992,Keith,Hoffman,2019-11-05,146,2019-11-30
277,858,Brittany,Smith,2023-09-28,33,2023-10-07
278,1771,Brenda,Scott,2021-07-20,41,2021-10-16
279,167,Katelyn,Hamilton,2020-08-29,116,2020-10-24
280,1874,Seth,Perry,2023-10-20,89,2023-10-28
281,3673,Lucas,Torres,2021-08-15,108,2021-09-02
282,2099,Stephanie,Booth,2021-06-23,145,2021-09-02
283,1689,Justin,Keller,2021-06-14,57,2021-09-02
284,1868,Brittany,Wiggins,2021-09-25,36,2021-10-30
285,3705,Julie,Burke,2023-08-23,47,2023-08-31
286,1604,Heather,Smith,2022-08-22,130,2022-09-24
287,2740,Michael,Alexander,2021-06-29,120,2021-10-02
288,1747,Angelica,Moore,2019-07-09,100,2019-09-21
289,2256,Mary,Parks,2021-09-10,44,2021-10-16
290,127,Donna,Berg,2023-07-18,33,2023-08-31
291,244,Jamie,Brandt,2021-10-17,36,2021-10-30
292,3756,Cameron,Oliver,2022-08-20,145,2022-09-24
293,1155,Tonya,Carter,2019-09-10,38,2019-11-30
294,1187,Larry,Fischer,2021-07-10,136,2021-10-16
295,1632,John,Schultz,2023-08-20,78,2023-10-28
296,3763,Dylan,Morgan,2022-09-09,83,2022-10-08
297,2625,Brian,Mitchell,2022-08-15,142,2022-10-15
298,2789,Brian,Erickson,2022-08-05,103,2022-10-22
299,3772,Michele,Gomez,2019-06-29,126,2019-08-31
300,3399,Nathan,Campbell,2019-08-24,78,2019-11-30
301,2407,Nicole,Jensen,2022-09-26,35,2022-10-15
302,3169,Ryan,Hawkins,2019-06-20,34,2019-09-21
303,3274,William,Kelley,2019-09-22,107,2019-10-19
304,2026,John,Martinez,2020-10-09,52,2020-11-14
305,1217,Donald,Smith,2022-07-08,142,2022-09-24
306,3926,Jennifer,Lee,2023-06-11,149,2023-08-31
307,3691,David,Walker,2022-09-08,83,2022-10-22
308,1563,Jasmine,Sawyer,2019-09-02,58,2019-11-30
309,2556,Lucas,Scott,2020-09-05,83,2020-11-14
310,421,Robert,Park,2021-09-26,106,2021-10-16
311,209,Melissa,Sanchez,2021-09-21,72,2021-10-02
312,921,Alicia,Hayes,2022-08-25,135,2022-10-22
313,198,Colin,Castillo,2022-08-26,32,2022-10-08
314,356,David,Rodriguez,2020-09-05,91,2020-10-24
315,603,Pamela,Murray,2021-10-01,117,2021-10-16
316,915,Jacob,Howard,2022-06-17,141,2022-09-24
317,2705,Amanda,Smith,2021-08-05,121,2021-10-30
318,3879,Vanessa,Church,2023-08-27,132,2023-10-28
319,2032,Rachel,Williams,2020-07-23,99,2020-10-24
320,1333,Kaitlyn,Lopez,2021-10-14,53,2021-10-16
321,3868,James,Barron,2023-07-22,118,2023-09-16
322,912,Alicia,Sosa,2019-07-03,84,2019-08-31
323,2041,Courtney,Smith,2019-06-26,86,2019-09-21
324,1763,James,Mcclure,2022-09-14,125,2022-10-22
325,3349,Emma,Nguyen,2019-07-28,63,2019-08-31
326,2493,Terrance,Swanson,2021-06-30,49,2021-09-02
327,2259,Scott,Johnson,2021-09-10,99,2021-10-02
328,2288,Lori,Walters,2022-10-22,129,2022-10-29
329,3804,Michelle,Campbell,2021-10-23,126,2021-10-30
330,1088,Nancy,Gilbert,2019-08-31,142,2019-11-30
331,255,Richard,Jones,2021-07-15,124,2021-09-02
332,909,Stacey,Thomas,2023-08-21,90,2023-08-31
333,2135,Bonnie,Cook,2022-09-18,32,2022-10-29
334,383,Sarah,Porter,2020-11-12,149,2020-11-14
335,1640,James,Stewart,2021-06-07,125,2021-09-02
336,572,Stacey,Ellison,2020-08-26,59,2020-11-14
337,1896,Michael,Kelley,2020-08-25,63,2020-10-10
338,3904,Luke,Nguyen,2022-09-11,88,2022-10-15
339,2635,Julie,Carney,2022-08-31,129,2022-09-24
340,2759,Whitney,Potter,2022-10-05,144,2022-10-08
341,3641,Kelly,Lawrence,2020-09-27,123,2020-11-14
342,3273,Karen,Clements,2022-09-14,42,2022-10-29
343,3930,Jasmine,Hays,2022-07-22,123,2022-10-29
344,3186,Kathryn,Jackson,2019-08-13,43,2019-10-19
345,491,Natasha,Murillo,2019-09-16,31,2019-11-09
346,717,Heather,Robinson,2021-07-17,99,2021-10-02
347,1560,Jacqueline,Williams,2023-08-06,142,2023-08-31
348,941,Damon,Jones,2022-10-01,34,2022-10-15
349,836,Ryan,Tucker,2023-06-28,100,2023-08-31
350,1724,Brian,Weaver,2021-07-16,122,2021-10-02
351,653,Michelle,Richardson,2021-07-09,133,2021-09-02
352,1337,Tammy,Rose,2019-06-29,43,2019-08-31
353,1120,Matthew,Faulkner,2021-09-16,63,2021-10-02
354,3740,Beth,Fisher,2019-08-24,63,2019-09-21
355,214,Reginald,Nguyen,2019-06-16,107,2019-08-31
356,2819,Michelle,Barnett,2023-10-19,32,2023-10-28
357,3807,Jonathan,Bryant,2019-08-18,38,2019-08-31
358,2703,Tara,Lawrence,2022-09-30,141,2022-10-22
359,1266,Jason,Wilson,2022-09-07,75,2022-11-12
360,1777,Holly,Gutierrez,2022-09-14,132,2022-10-29
361,2620,Michael,Jackson,2021-06-29,117,2021-10-02
362,107,Stephen,Knight,2021-08-19,116,2021-09-02
363,3822,Joseph,Harris,2023-08-20,58,2023-10-07
364,2027,Megan,Ramirez,2021-07-11,125,2021-09-02
365,2811,Charles,Cook,2021-07-07,146,2021-10-02
366,2971,Kevin,Lewis,2021-09-24,127,2021-10-02
367,2553,Rachel,Romero,2022-09-19,126,2022-10-29
368,138,Chad,Logan,2022-08-05,137,2022-10-15
369,3046,Jacob,Rice,2019-08-08,117,2019-11-09
370,2731,Adam,Rodriguez,2022-08-14,138,2022-10-29
371,2198,Gail,Murphy,2020-10-04,32,2020-10-10
372,3006,Danielle,Ross,2021-06-24,108,2021-10-02
373,362,Sarah,King,2021-08-07,79,2021-10-30
374,1822,Sharon,Long,2023-09-07,133,2023-10-28
375,2717,Jay,Schwartz,2021-09-04,37,2021-10-30
376,584,Heather,Robinson,2021-07-21,115,2021-10-16
377,3433,Andrew,Powers,2019-08-23,61,2019-11-30
378,1968,Anthony,Dunlap,2021-10-10,112,2021-10-16
379,1603,Ryan,Gonzalez,2019-08-16,114,2019-10-19
380,1180,Sheri,Burch,2021-08-14,88,2021-10-02
381,304,Todd,Thompson,2019-07-08,104,2019-08-31
382,3068,Sandra,Murray,2023-07-13,111,2023-10-07
383,3329,Sheri,Martin,2023-07-20,54,2023-10-07
384,1888,James,Green,2019-08-14,141,2019-11-09
385,2074,Jessica,Stephens,2019-10-19,33,2019-10-19
386,1319,Mark,Maddox,2019-08-16,98,2019-10-12
387,2609,Shelby,Phelps,2022-08-13,42,2022-11-12
388,802,Michael,Dudley,2019-07-31,64,2019-10-12
389,2651,Emily,Cooper,2022-10-02,107,2022-10-15
390,1752,Tyler,Cooke,2019-08-13,42,2019-10-12
391,1387,Barry,Burton,2019-09-19,41,2019-11-30
392,3196,Megan,Kent,2022-09-08,76,2022-10-22
393,1701,Alan,Wolfe,2023-08-23,59,2023-10-07
394,3533,Shelly,Johnson,2022-08-08,39,2022-11-12
395,2435,Eugene,Young,2022-09-10,87,2022-11-12
396,1347,Stephanie,Fleming,2020-09-16,78,2020-10-10
397,2496,Kathleen,Boyer,2023-07-27,145,2023-08-31
398,86,Carrie,Soto,2019-08-05,73,2019-11-09
399,1670,Miguel,Sanders,2021-07-30,82,2021-10-02
400,1660,Caitlin,Farmer,2022-07-17,93,2022-10-08
401,622,Cynthia,Watkins,2019-11-17,69,2019-11-30
402,126,Rebecca,Williams,2019-09-18,76,2019-10-19
403,2200,John,Hudson,2020-10-10,85,2020-10-24
404,2262,Tanner,Robles,2021-09-20,68,2021-10-30
405,697,Nicholas,Morris,2023-07-22,85,2023-10-07
406,1900,Roger,Buchanan,2021-07-23,48,2021-10-30
407,16,Raymond,Frazier,2022-10-28,136,2022-11-12
408,3245,Andrew,Mcknight,2020-11-07,141,2020-11-14
409,1259,Justin,Vargas,2022-10-03,120,2022-10-15
410,1585,Christopher,Kent,2023-09-01,144,2023-09-16
411,2644,Jennifer,Heath,2022-08-06,149,2022-10-29
412,3697,Erik,Preston,2021-09-25,142,2021-10-16
413,696,Chad,Butler,2020-07-22,39,2020-10-10
414,1225,Lisa,Webb,2022-10-14,128,2022-10-29
415,3347,Michael,Morgan,2020-08-02,78,2020-10-10
416,2723,Erik,Collins,2022-09-12,96,2022-10-29
417,1422,Travis,Nelson,2023-08-28,86,2023-10-28
418,3988,Margaret,Carter,2021-07-03,112,2021-09-02
419,3064,Kathleen,Kent,2022-11-12,46,2022-11-12
420,635,Kathryn,Walton,2023-08-01,89,2023-09-16
421,2043,Lisa,Santiago,2022-08-12,78,2022-11-12
422,2225,Kevin,Meyer,2020-09-06,50,2020-10-24
423,3649,Lori,Wyatt,2019-08-19,97,2019-10-12
424,1414,James,Cross,2023-07-26,128,2023-10-28
425,3280,Brian,Lyons,2022-06-21,146,2022-09-24
426,1278,Dana,Anderson,2020-11-01,54,2020-11-14
427,1519,Jackson,Robbins,2022-08-02,108,2022-10-08
428,906,Emily,Jordan,2021-06-08,69,2021-09-02
429,3350,Veronica,Watson,2019-09-11,64,2019-11-09
430,225,John,Wilcox,2019-07-03,125,2019-08-31
431,58,Christina,Hanson,2019-05-28,34,2019-08-31
432,1839,Lauren,Lee,2019-08-26,123,2019-11-30
433,598,George,Phillips,2020-08-27,78,2020-10-24
434,1117,Pamela,Pineda,2021-07-14,119,2021-09-02
435,1905,Karl,Robinson,2022-07-05,42,2022-09-24
436,3524,Miguel,Evans,2019-09-04,115,2019-11-30
437,2014,David,Davis,2023-08-25,99,2023-10-07
438,1643,Curtis,Barrera,2021-08-31,115,2021-10-16
439,52,Darryl,Rodriguez,2023-06-29,50,2023-09-16
440,3312,Robyn,Valdez,2019-06-09,146,2019-08-31
441,1554,Misty,Chapman,2023-07-29,126,2023-10-28
442,2513,Andrew,Gates,2022-07-23,124,2022-09-24
443,1947,Brandon,Burch,2023-07-15,134,2023-10-07
444,1002,Brenda,Daniel,2021-08-09,73,2021-10-16
445,2398,Carol,Collins,2022-10-01,63,2022-10-15
446,2187,Thomas,Rasmussen,2021-10-26,122,2021-10-30
447,666,Carol,Williams,2021-10-15,122,2021-10-16
448,3948,Anthony,Miller,2023-09-22,138,2023-10-07
449,3605,Anita,Norman,2019-06-26,96,2019-08-31
450,2551,Lisa,Collins,2023-06-07,91,2023-08-31
451,3222,Dennis,Meyer,2020-08-01,61,2020-10-10
452,1861,Richard,Richards,2019-08-18,99,2019-11-09
453,597,Madison,Adams,2019-07-14,49,2019-08-31
454,2341,Jamie,Thomas,2022-10-02,138,2022-10-29
455,1983,Andrew,Banks,2022-09-27,75,2022-11-12
456,2040,Adrian,Horn,2019-11-21,31,2019-11-30
457,3477,Jeremy,Nicholson,2020-07-03,78,2020-10-10
458,3315,Jeffrey,Newman,2020-09-05,122,2020-10-10
459,1213,Eddie,Thompson,2019-09-14,107,2019-09-21
460,1172,Micheal,Perkins,2020-11-08,85,2020-11-14
461,424,Kyle,Smith,2019-10-02,45,2019-10-19
462,1686,Jonathan,Smith,2022-10-21,92,2022-10-22
463,1229,Roger,Garcia,2022-08-22,94,2022-10-29
