,id,first_name,last_name,phone_number,email,purchasedate,moneyspent
67,857,Charles,Anthony,5795834878,andersondawn@example.org,2022-05-29,5.0
68,1093,Michael,Douglas,913-897-1662x3617,stephenhoover@example.com,2019-12-07,9.0
69,3676,Heather,Thomas,396-928-1350x7684,yadams@example.org,2019-01-30,128.0
70,1637,Scott,Fitzgerald,(566)934-6344x9006,browningrichard@example.org,2020-04-19,45.0
71,1136,Michael,Johnston,+1-249-353-1672x6608,christine66@example.org,2022-03-09,58.0
72,310,Rachel,Lewis,(965)797-0216x0828,julieberry@example.com,2023-04-23,146.0
73,2594,Bradley,Smith,9154680185,heatherbrown@example.com,2019-08-12,66.0
74,688,Helen,Cole,484-830-0675x1601,parksdeborah@example.net,2023-07-16,67.0
75,1579,Kathryn,Patterson,305.757.1841,linda86@example.com,2022-11-24,19.0
76,81,William,Mcguire,501-327-9768x61430,jamesruiz@example.net,2021-07-25,52.0
77,2039,Ricky,Stanley,001-391-480-7856,dominguezleonard@example.net,2021-04-18,30.0
78,809,Donna,Romero,(947)952-0911x454,garrisonjessica@example.net,2022-08-19,109.0
79,3,Joseph,Knight,4256943812,davidscott@example.org,2020-09-22,122.0
80,3207,Margaret,Schmitt,235.454.0106x164,cherylrichmond@example.net,2021-04-10,34.0
81,126,Donald,Richardson,(326)569-7922x97723,icarr@example.com,2018-10-25,11.0
82,2714,Amanda,Fletcher,+1-927-695-6745x125,sabrinapotts@example.net,2019-06-03,88.0
83,277,Amy,Bullock,+1-527-813-4526,kayla50@example.org,2021-03-18,38.0
84,3727,Alicia,Grant,780.945.7092,aclark@example.com,2021-10-14,76.0
85,1077,Paul,Lewis,001-399-399-3309,myersdonald@example.com,2021-03-03,42.0
86,1807,John,Lawson,+1-753-580-3881x318,doyledavid@example.net,2022-07-28,5.0
87,861,Ian,Cole,981-981-5710x17575,angela79@example.com,2019-06-16,4.0
88,2744,Aaron,Walters,718.773.2756x723,twilliams@example.org,2022-01-30,17.0
89,2036,Taylor,Adkins,001-916-571-3067x26760,brittany40@example.com,2019-12-28,19.0
90,433,Raven,Leon,+1-739-756-8378x25940,williamsdouglas@example.net,2020-08-24,13.0
91,3187,Tiffany,Snyder,+1-876-716-2197,brenda46@example.org,2019-09-16,146.0
92,2134,Megan,Fuentes,001-354-516-3025x70499,emily64@example.com,2021-10-02,87.0
93,1856,John,Rogers,+1-854-302-3996x10970,nicholas72@example.com,2021-07-05,143.0
94,210,Kevin,Nguyen,893-731-4735x980,anolan@example.net,2020-11-17,111.0
95,1584,Danielle,Jennings,+1-619-278-3940x47735,sullivanderrick@example.org,2022-04-22,72.0
96,1895,Cheryl,Benitez,001-472-419-7974x6419,mariohernandez@example.com,2019-12-23,5.0
97,3482,Katherine,Brooks,741-964-3997,jefferymiller@example.com,2021-06-16,66.0
98,1056,Maria,Nash,485-343-5416x49814,qmckee@example.org,2023-08-09,86.0
99,2116,Nina,Christian,556-973-6825x58686,maytamara@example.com,2022-03-30,60.0
100,3527,Mark,Bennett,525-229-2837x7037,ryan52@example.net,2019-07-23,54.0
101,2829,William,Price,001-517-619-0579x012,smithnicholas@example.net,2021-01-22,50.0
102,2197,Joan,Fry,001-337-336-9500x79800,iguerrero@example.net,2019-08-08,24.0
103,3421,Sylvia,Medina,(304)754-6248x729,jacqueline16@example.com,2023-07-03,42.0
104,3627,Christopher,Johnson,(494)282-5388,saraharvey@example.com,2020-03-19,143.0
105,2578,Mark,Nelson,001-393-634-4581x851,xbowers@example.org,2020-07-26,57.0
106,2543,Jonathon,Thompson,516.961.9220x7240,michael94@example.com,2022-06-18,133.0
107,1091,Jessica,Pearson,9589896903,christinegill@example.com,2021-10-11,61.0
108,3272,Lance,Lopez,001-533-854-0065x3795,matthewromero@example.net,2023-04-06,69.0
109,751,Tara,Crosby,8139018175,michellebecker@example.net,2021-08-30,144.0
110,829,Lauren,Long,(794)292-5050,shannonedwards@example.com,2021-08-11,45.0
111,1193,Steven,Hull,384-299-8725x5680,steven66@example.org,2020-08-08,76.0
112,862,Michelle,Acevedo,+1-976-463-7356,timothy56@example.net,2020-02-12,146.0
113,3071,Nancy,Lee,857-591-4644x22836,christopher80@example.net,2022-01-04,54.0
114,384,Elizabeth,Lewis,(695)774-3214x49032,nwatson@example.com,2021-08-20,7.0
115,1933,Alvin,Brown,+1-686-938-2104x858,brian88@example.net,2022-02-14,36.0
116,2232,Kerri,Moore,(634)403-9272x401,chad96@example.org,2022-11-22,132.0
117,616,Dawn,Holloway,001-891-842-9128x8409,smithmario@example.net,2022-08-05,128.0
118,3873,Matthew,Reeves,831-399-6624x1241,ricebrandy@example.com,2020-10-20,104.0
119,2042,Timothy,Evans,355.472.1794,jonathan26@example.net,2019-08-09,138.0
120,3893,Timothy,King,(580)360-3943,ggriffin@example.org,2021-08-13,97.0
121,1835,Anthony,Tucker,860-553-4712x06246,maryweaver@example.org,2020-10-21,93.0
122,2457,Kristina,Herring,581.280.1335x9599,robinhuerta@example.com,2020-07-25,76.0
123,274,Amanda,Williams,(537)216-2031x092,johnwright@example.org,2020-04-13,94.0
124,2018,Heather,Burke,(285)351-0334,mark67@example.org,2023-02-01,130.0
125,1648,Scott,Lozano,559-429-1240x13487,alecvaldez@example.net,2020-03-27,84.0
126,2215,Matthew,Townsend,(791)699-6142,zjames@example.org,2019-12-20,113.0
127,2414,Shannon,Jones,340-716-3583,julienelson@example.net,2020-08-20,107.0
128,3354,Carrie,Evans,+1-669-389-6125x047,olivia01@example.net,2021-07-24,2.0
129,1726,Laura,Lee,9243719697,bonillanancy@example.org,2020-01-25,5.0
130,1486,Mary,Patel,554.685.7199x2508,raymondshaw@example.org,2021-01-01,64.0
131,1714,Randy,Dixon,445-695-5915,nicolewatkins@example.net,2020-07-13,85.0
132,3429,Charles,Bryant,001-275-915-9868,broman@example.com,2020-05-06,80.0
133,1191,Hannah,Joseph,001-810-636-1753,kwashington@example.net,2021-05-14,22.0
134,1959,Laura,Goodman,982-749-5718x511,zdavis@example.org,2021-04-01,66.0
135,3434,Caitlin,Stewart,001-407-841-0128x1878,fletcherjeremy@example.net,2022-01-07,91.0
136,1530,Shannon,Smith,+1-650-234-8277,rodriguezmegan@example.org,2023-07-23,120.0
137,1408,Stacy,Hall,3863096243,larsondeborah@example.net,2022-01-13,124.0
138,1938,Calvin,Gilbert,385.293.2768,blopez@example.com,2023-04-17,63.0
139,3281,Hannah,Rodriguez,750.411.0315x4398,rubiothomas@example.com,2021-08-08,44.0
140,3130,Jonathan,Perkins,6692753621,paula04@example.org,2021-12-19,56.0
141,3924,Marvin,Leonard,001-903-925-5896x50307,ogomez@example.net,2019-05-03,62.0
142,3555,James,Gordon,001-514-262-7251x1891,joy28@example.org,2018-10-29,127.0
143,421,Kristine,Parks,(981)628-3644x618,stevenwilson@example.org,2023-05-30,129.0
144,3574,Nicolas,Cooley,710-328-9608,joseph97@example.net,2022-02-03,23.0
145,3303,Eddie,Warren,(250)886-7511x582,browntodd@example.net,2022-09-18,124.0
146,3195,Justin,Wilson,4679661743,isavage@example.org,2023-09-24,28.0
147,2486,Cheyenne,Jackson,580.706.4369x8706,yjackson@example.org,2021-07-18,26.0
148,1391,Darlene,Cain,+1-645-300-3509x46580,david86@example.com,2021-02-02,96.0
149,2649,Kenneth,Elliott,+1-715-420-5673x47868,susanschroeder@example.net,2022-10-07,16.0
150,3205,Shelia,Chen,219-982-9935x7241,jpineda@example.com,2020-12-19,131.0
151,3277,Meghan,Knox,+1-379-947-2074x523,andersonlisa@example.org,2022-06-20,133.0
152,3500,Christopher,Stanley,+1-558-923-6106,petersonamanda@example.com,2022-03-25,87.0
153,2279,Earl,Mathews,9503868293,zachary08@example.com,2019-09-08,83.0
154,3001,Glenda,Wilkins,+1-993-787-4797x99236,ghill@example.net,2019-10-07,129.0
155,3583,Amanda,Sanders,001-265-302-6667,thomas73@example.org,2019-09-30,121.0
156,2673,Kathryn,Mueller,(968)665-6494,lindseyclark@example.org,2019-10-26,64.0
157,653,Daniel,Wolfe,934-750-8886x2138,blucas@example.net,2019-01-13,95.0
158,1280,Donna,Hampton,+1-358-655-9872x9219,sara58@example.com,2019-12-19,99.0
159,1421,Shawn,Williams,639.512.8927,greenashley@example.com,2022-07-13,109.0
160,958,Michael,Black,379-617-4968x6800,jeffreysmith@example.net,2023-05-30,67.0
161,3843,David,Garner,770-884-2143x0163,jason43@example.net,2020-12-02,52.0
162,2525,Stephanie,Garcia,(545)748-3149x35653,kathleen33@example.net,2023-09-03,77.0
163,3005,Tyler,Macdonald,+1-492-539-1049,ayalapeggy@example.org,2022-08-30,75.0
164,2775,William,Johnston,966-875-4906x19978,washingtonian@example.com,2021-05-12,132.0
165,1686,Michael,Phillips,001-468-745-6120x6428,wcastro@example.com,2021-08-23,18.0
166,1259,Donald,Aguilar,909.278.6997,mejiadawn@example.org,2020-03-20,7.0
167,3103,Joseph,Allen,781-485-7054x456,angela97@example.net,2020-04-01,15.0
168,526,James,Keller,221-795-1925,matthew44@example.net,2019-12-20,35.0
169,2627,Robert,Phillips,001-754-802-5580x551,kmartin@example.net,2022-02-25,58.0
170,1257,James,Watts,(534)225-2192x4047,xroach@example.org,2022-12-08,109.0
171,1409,David,Sullivan,848-298-9543,kristin55@example.com,2020-11-29,117.0
172,1368,Christian,Alvarez,+1-375-717-5246x8185,wandahobbs@example.net,2022-01-11,82.0
173,1069,Karen,Reynolds,(353)671-7782x7325,denise47@example.com,2021-12-28,10.0
174,789,John,Luna,+1-927-223-9213x296,pamelaraymond@example.net,2023-08-10,76.0
175,3749,Maria,Green,3495433111,jenniferjones@example.org,2021-07-03,98.0
176,3832,Cindy,Bradley,(996)851-8780,ginameyers@example.net,2019-01-20,52.0
177,2280,Richard,Vargas,642-724-0136,ubradley@example.com,2021-05-26,21.0
178,2643,Jeff,Preston,001-667-993-0030x3468,nathanvalencia@example.net,2019-05-24,60.0
179,2064,Sharon,Foster,237-419-2933x2657,mckenzieandrew@example.com,2018-10-24,118.0
180,3212,Kimberly,Rodriguez,+1-342-324-1863,davidescobar@example.com,2020-06-16,100.0
181,469,Jared,Taylor,277.872.9751,mjackson@example.com,2023-03-29,93.0
182,1660,Shane,Nunez,001-943-618-3633,michael38@example.net,2019-08-29,115.0
183,1354,Troy,Chavez,435-211-7208x987,erobinson@example.com,2021-04-28,18.0
184,1623,Pam,Walker,288-729-0073x316,russell47@example.org,2019-01-15,107.0
185,1502,Karen,Bryan,3814615413,pateljaime@example.net,2021-10-22,42.0
186,2292,Kenneth,Pitts,562.469.8395,floresnancy@example.org,2019-11-29,24.0
187,3258,Adam,Johnson,(678)681-6734,christopher79@example.org,2021-03-08,16.0
188,3450,Brandi,Walker,(271)920-7029,thompsonderek@example.net,2022-09-06,66.0
189,2190,Roger,Foster,7672992684,yhudson@example.com,2023-02-01,45.0
190,3037,Randall,Perry,460.972.1719,wigginswilliam@example.com,2023-06-30,39.0
191,2882,Jeffery,Hernandez,+1-967-342-3037x18500,trevinosteve@example.com,2019-08-21,118.0
192,1697,Lisa,Ewing,658-942-7008x3518,ylopez@example.org,2020-02-19,72.0
193,3557,Nathan,Simmons,(244)989-5289,alexandragross@example.com,2022-02-23,101.0
194,596,Kenneth,Morris,(401)207-7706x7113,wrightbrian@example.net,2019-09-09,104.0
195,1872,Jared,Adkins,768-652-6306x380,lauren46@example.com,2022-10-11,43.0
196,251,Vanessa,Smith,(978)575-4101x02413,ksimmons@example.org,2021-12-27,148.0
197,3907,Brandon,Marshall,(278)245-5866,stephanie71@example.net,2019-08-13,124.0
198,782,Ronald,Horne,742-246-2039x827,gbradley@example.org,2022-01-07,137.0
199,1196,Gary,Tate,531.796.3896x3909,kristenandersen@example.net,2021-03-17,73.0
200,3327,Sherry,Robinson,001-961-738-3191x6799,thomasamanda@example.com,2021-09-12,105.0
201,674,Paul,Chang,454.917.4421x18270,richardscaitlin@example.org,2022-08-28,25.0
202,2472,Steven,Haas,(552)822-3158x60526,bryce83@example.org,2020-05-01,120.0
203,1335,Michael,Taylor,001-936-817-8524x91358,wmartin@example.com,2020-11-04,57.0
204,2258,Stephanie,Shannon,+1-374-632-1181x870,smclean@example.com,2022-03-14,136.0
205,1850,Richard,Anderson,609.329.9684x18443,elizabethbrown@example.org,2021-09-12,41.0
206,1410,Kathryn,Mason,(550)626-7682x2847,tanyacarroll@example.com,2020-09-04,10.0
207,588,Deanna,Ruiz,300-241-0367x728,lcastro@example.org,2019-10-12,3.0
208,2086,Roy,Gray,555-917-3654x807,jonathanjames@example.org,2020-07-08,59.0
209,3607,Brandi,Harmon,+1-501-725-2799,sue82@example.net,2021-01-11,141.0
210,712,Sydney,Peters,+1-747-770-0509x4612,singherik@example.org,2019-12-29,48.0
211,488,Crystal,Bennett,001-902-583-4976x2342,nmack@example.com,2022-11-04,54.0
212,90,Antonio,Bowman,+1-435-712-4775x271,potterjacob@example.com,2022-04-08,100.0
213,629,Michelle,Ross,(748)948-6286x5538,martinaaron@example.org,2020-09-05,110.0
214,3479,Shelby,Clark,+1-680-814-3749x7125,cwilkins@example.com,2019-12-28,14.0
215,1721,Frank,Gaines,3142624821,harrisamber@example.com,2019-09-15,9.0
216,3725,Cathy,Davis,(359)257-8767,everettmargaret@example.com,2021-02-15,49.0
217,2095,Isaiah,Chavez,940-733-8744x993,julie19@example.net,2021-08-27,42.0
218,2333,Carolyn,Myers,001-495-283-8317x20119,reyessean@example.org,2020-04-20,15.0
219,1977,Eric,Harvey,+1-816-472-1826,hshannon@example.net,2021-03-02,30.0
220,1519,Nathaniel,Adams,+1-927-623-4919x67115,joemcclure@example.com,2022-09-16,45.0
221,22,Susan,Boyd,(722)865-8605x7951,diazholly@example.com,2023-03-26,47.0
222,1101,Ryan,Smith,(855)357-5598,michael62@example.org,2020-07-08,7.0
223,2684,Anita,Fox,461-996-9479x781,justin47@example.com,2023-05-16,59.0
224,3702,Nicole,Watson,+1-813-759-9320x7824,wilkersonalicia@example.net,2023-06-02,149.0
225,2131,Natalie,Bush,919-386-8500x56024,ryan41@example.org,2018-11-11,59.0
226,3109,Hannah,Cervantes,5439896610,betty21@example.org,2019-09-27,48.0
227,2124,Leslie,Graves,001-440-413-2602x933,ufarmer@example.org,2019-04-03,118.0
228,225,Alicia,Dominguez,001-986-944-5348x9796,lopeztimothy@example.com,2019-09-03,3.0
229,345,Candace,Williams,001-952-831-1895,amber44@example.org,2019-10-19,107.0
230,2739,Carrie,Lewis,001-219-763-2413x6698,rgross@example.net,2019-03-13,71.0
231,3145,Susan,Gross,2618239481,charlottebaxter@example.org,2022-08-03,135.0
232,2493,Jason,Hall,623.434.3426,qavila@example.org,2022-09-23,105.0
233,3315,Brooke,Johnson,667-500-2887,gmorris@example.net,2020-11-23,64.0
234,3879,Paige,Perez,001-846-849-0354x396,robertwarner@example.com,2018-10-15,77.0
235,3778,Janet,Roth,+1-520-581-4885,omiller@example.net,2023-04-02,15.0
236,196,Larry,Jackson,001-958-274-7521x60562,christopher12@example.org,2019-09-04,112.0
237,1803,Lindsey,Curtis,8739647385,yjefferson@example.com,2021-05-22,110.0
238,1218,Kayla,Glover,646.695.6721x2955,sanfordlance@example.org,2020-09-25,78.0
239,2875,Cindy,Reeves,2553304583,wpierce@example.net,2023-05-18,30.0
240,2223,Shannon,Martinez,+1-825-487-1285x00854,paula33@example.net,2023-07-27,101.0
241,2879,Sabrina,Reynolds,(755)258-5926x05389,gracepham@example.net,2022-07-16,114.0
242,2337,Brian,Wright,6228301714,jwilliams@example.org,2022-05-02,123.0
243,3253,Jacqueline,Morris,710-509-9908x23390,victoriamaldonado@example.org,2023-08-20,128.0
244,3755,Suzanne,Davis,+1-757-333-7418,justin87@example.org,2022-06-26,109.0
245,1946,Michael,Leblanc,001-213-509-0852x63741,robinhughes@example.org,2022-05-11,27.0
246,925,Dan,Cohen,(214)485-0366,awilliams@example.org,2020-01-12,14.0
247,527,Darlene,Gomez,(216)434-3189x85703,qrobinson@example.net,2019-10-24,133.0
248,3014,Cynthia,Vaughn,+1-785-861-9306x77419,jameshuang@example.net,2022-11-29,90.0
249,1003,Elizabeth,Peterson,456-559-5743x58876,lori02@example.net,2022-01-10,69.0
250,1468,David,Stewart,8982942723,owensmichael@example.net,2023-09-03,58.0
251,311,Madeline,Finley,+1-200-250-4449x180,brownedward@example.net,2019-01-17,0.0
252,598,Karen,Weber,842.411.8898x217,cbryant@example.org,2023-04-14,46.0
253,2392,Sean,Barker,280.433.1702,moonchristopher@example.com,2022-11-30,44.0
254,2220,Sean,Johnson,505.994.5521x90299,richard42@example.com,2020-02-23,53.0
255,1956,Dylan,Shannon,992.442.3173x12558,ehill@example.org,2022-10-03,64.0
256,91,Alisha,Price,377-730-1721x8521,tracy85@example.org,2019-02-18,79.0
257,817,Stephen,Morgan,378-370-5069x09669,hayesjohn@example.com,2019-09-06,144.0
258,1005,Benjamin,Smith,(546)292-1386x034,smithgary@example.org,2018-11-20,103.0
259,467,Kevin,Richards,296-316-2057,theresa02@example.net,2019-10-28,40.0
260,3822,Kenneth,Richards,+1-306-980-3828x31017,nmora@example.com,2020-08-04,130.0
261,2851,Monica,Weber,(332)655-3636,feliciawillis@example.net,2020-03-17,105.0
262,1814,Mary,Williams,768-550-7647x8496,alan80@example.net,2019-03-19,68.0
263,1847,Paul,Williams,232-944-1932x8537,rebecca23@example.org,2020-05-13,122.0
264,2069,Austin,Mitchell,001-213-888-1600x494,delgadojacob@example.net,2020-02-24,37.0
265,1415,Joseph,Mitchell,001-345-828-9125x86009,carsonlinda@example.com,2021-12-15,46.0
266,631,Diana,Cortez,277.526.6244x262,kelly90@example.org,2019-03-27,14.0
267,167,Teresa,Simmons,7824861012,johnlawrence@example.net,2018-12-11,42.0
268,2929,Carla,Fields,697.854.6272x9292,waltermcdonald@example.com,2021-04-15,9.0
269,1012,April,Peterson,001-947-759-6654x294,alejandra36@example.net,2021-07-29,28.0
270,280,Amy,Horn,+1-358-359-6895x2365,jmartinez@example.org,2019-01-24,150.0
271,2580,Michael,Vasquez,822-616-9076x7528,jgriffin@example.org,2019-06-19,92.0
272,2765,Nicholas,Burke,(905)393-0727x09267,eblair@example.net,2020-02-23,86.0
273,3880,Julie,Maddox,388-914-6067,sgreene@example.org,2021-04-18,11.0
274,187,Teresa,Lopez,913-893-9446,tylerperry@example.com,2020-10-27,116.0
275,2795,Raymond,Brown,243-304-1724x84821,jameskelly@example.org,2019-12-12,108.0
276,2479,Monica,Park,001-337-210-5402x847,chungjacqueline@example.net,2018-11-02,8.0
277,3439,Maria,Green,952.906.4488x4114,jenniferjensen@example.net,2023-08-14,81.0
278,3501,Amanda,Ward,910.471.2323x36137,smithkristina@example.net,2019-06-02,110.0
279,3550,Alexandria,Ward,(965)463-2607,reillyelizabeth@example.org,2019-09-01,47.0
280,3621,Jeffrey,Jones,001-381-665-0317x7072,geraldjones@example.org,2020-05-17,55.0
281,2746,Jack,Stewart,994-596-1342x7682,umartin@example.org,2020-02-07,19.0
282,171,Melissa,Floyd,709-926-5920,andrewsbrian@example.net,2021-10-31,18.0
283,2270,Kimberly,Haynes,(609)896-6281,andrew08@example.org,2020-01-17,135.0
284,1900,Sandra,Houston,974-452-7792,jennifer57@example.com,2022-01-06,16.0
285,2551,Brandon,Freeman,+1-365-583-0188,debbie58@example.com,2019-03-17,44.0
286,3542,Robert,Mcconnell,317.386.3354,yvaughn@example.net,2019-12-25,56.0
287,2772,Autumn,Drake,6693842191,schultzjulia@example.net,2019-05-21,88.0
288,2950,Danny,Esparza,9479373559,chelseacoleman@example.org,2021-04-11,122.0
289,726,Richard,Douglas,001-961-499-0983x97760,ronald72@example.net,2022-04-04,27.0
290,607,Melanie,Rose,667-629-5184x84384,laura84@example.net,2023-07-02,61.0
291,1337,Brad,Larsen,298-609-0784,julian85@example.com,2020-05-24,144.0
292,577,James,Clark,(758)795-1980,masseytyler@example.net,2021-06-02,79.0
293,385,Bianca,Garcia,804-500-0842x05740,neilcarrillo@example.org,2018-11-24,53.0
294,1150,Heather,Merritt,456.642.2140x654,ztrujillo@example.org,2021-09-23,55.0
295,234,Timothy,Clark,736-306-1512,avega@example.com,2020-02-14,3.0
296,3941,John,Mclaughlin,(851)304-6677x886,tomcampos@example.com,2021-02-23,131.0
297,1654,Emily,Moss,+1-286-301-7496x3192,troygibson@example.net,2020-05-30,28.0
298,2505,Angela,Martinez,(661)655-4466x85501,stephaniejohnson@example.com,2021-11-05,90.0
299,976,Jessica,Guzman,(827)807-0381x64836,john34@example.net,2022-07-24,11.0
300,3218,Theresa,Johnson,(840)842-4765x392,jamesvalerie@example.com,2021-07-02,24.0
301,3525,Theresa,Lambert,490.907.3618,knelson@example.com,2020-03-04,149.0
302,202,Preston,Garcia,(729)357-1507,jacobsontammy@example.org,2021-03-22,32.0
303,3254,John,James,+1-472-333-0397x00646,lindafuentes@example.org,2020-02-27,124.0
304,1716,Ryan,Cline,391.486.1326x5994,whensley@example.net,2022-09-07,23.0
305,1051,Sydney,Smith,(793)504-5300x98124,adam71@example.com,2019-03-14,86.0
306,2314,William,White,(362)260-5828,raymondhanson@example.com,2021-09-28,62.0
307,2997,David,Moore,+1-259-751-9956x7999,sylviataylor@example.org,2021-05-09,138.0
308,1885,Stephanie,Miller,437.904.6148,craigjohnson@example.org,2021-01-24,121.0
309,3842,Bethany,Kramer,001-383-593-5800x920,natasha38@example.org,2018-12-11,36.0
310,134,Kristen,Benson,6022715872,rodriguezrussell@example.org,2019-02-13,12.0
311,3108,James,Flowers,+1-836-472-2071,davisthomas@example.com,2021-12-03,150.0
312,2306,Jake,Turner,414.321.4941x4693,rpierce@example.org,2019-01-28,116.0
313,153,Patricia,Bowers,(281)657-4730,anna77@example.com,2020-08-08,106.0
